cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:           3042000084
 a: add:          15246329968 size:           6084000168
 x: add:          21330330136 size:             12000016
 z: add:          21342330152 size:             12000016
 p: add:          21354330168 size:             12000016
 r: add:          21378330200 size:             12000016
 q: add:          21366330184 size:             12000016
loc(sm) = 0x4fd980e00	loc(add)=0x7fff01979948


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:     1
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x4fd980e00

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x4fd980e00
stop loc(add)0x4fd980e00

Memory read sampling results
pc=402936, @=15322109520, src level=LFB Hit, latency=184
pc=402942, @=140733220095368, src level=L1 Hit, latency=183
pc=40293c, @=21363501920, src level=L3 Hit, latency=35
pc=40293c, @=21364857136, src level=L3 Hit, latency=37
pc=402936, @=15323476272, src level=LFB Hit, latency=237
pc=402942, @=140733220095368, src level=L1 Hit, latency=123
pc=40293c, @=21360515872, src level=L3 Hit, latency=49
pc=402942, @=140733220095368, src level=L1 Hit, latency=310
pc=402942, @=140733220095368, src level=L1 Hit, latency=155
pc=40293c, @=21362593616, src level=L3 Hit, latency=42
pc=40293c, @=21363692472, src level=L3 Hit, latency=54
pc=40293c, @=21358890192, src level=L3 Hit, latency=43
pc=402932, @=46294696, src level=LFB Hit, latency=104
pc=40293c, @=21361282328, src level=L3 Hit, latency=35
pc=402942, @=140733220095368, src level=L1 Hit, latency=162
pc=402942, @=140733220095368, src level=L1 Hit, latency=145
pc=402958, @=140733220095368, src level=L1 Hit, latency=127
pc=402942, @=140733220095368, src level=L1 Hit, latency=149
pc=40293c, @=21362049936, src level=L3 Hit, latency=55
pc=402942, @=140733220095368, src level=L1 Hit, latency=310
pc=402936, @=15329073064, src level=LFB Hit, latency=165
pc=402942, @=140733220095368, src level=L1 Hit, latency=162
pc=402942, @=140733220095368, src level=L1 Hit, latency=388
pc=402942, @=140733220095368, src level=L1 Hit, latency=177
pc=402942, @=140733220095368, src level=L1 Hit, latency=373
pc=40293c, @=21364672000, src level=L3 Hit, latency=43
pc=40293c, @=21356764144, src level=L3 Hit, latency=51
pc=402936, @=15331470688, src level=LFB Hit, latency=192
pc=402936, @=15331812040, src level=LFB Hit, latency=229
pc=40293c, @=21362424552, src level=L3 Hit, latency=49
pc=40293c, @=21361633664, src level=L3 Hit, latency=41
pc=40293c, @=21365404664, src level=L3 Hit, latency=43
pc=40293c, @=21359053408, src level=L3 Hit, latency=60
pc=402936, @=15333578120, src level=LFB Hit, latency=99
pc=40293c, @=21355177776, src level=L3 Hit, latency=140
pc=402936, @=15334303304, src level=LFB Hit, latency=77
pc=40293c, @=21361457728, src level=L3 Hit, latency=65
pc=402942, @=140733220095368, src level=L1 Hit, latency=142
pc=402936, @=15335366360, src level=LFB Hit, latency=179
pc=40293c, @=21356334088, src level=L3 Hit, latency=39
pc=402942, @=140733220095368, src level=L1 Hit, latency=154
pc=402932, @=51394184, src level=LFB Hit, latency=214
pc=402936, @=15336807632, src level=LFB Hit, latency=959
pc=402942, @=140733220095368, src level=L1 Hit, latency=173
pc=40293c, @=21361983704, src level=L3 Hit, latency=76
pc=40293c, @=21362314840, src level=L3 Hit, latency=39
pc=402936, @=15338151064, src level=LFB Hit, latency=32
pc=402936, @=15338489024, src level=LFB Hit, latency=182
pc=40293c, @=21361865056, src level=L3 Hit, latency=48
pc=402932, @=52752036, src level=LFB Hit, latency=253
pc=402932, @=52926856, src level=LFB Hit, latency=341
pc=40293c, @=21363712776, src level=L3 Hit, latency=50
pc=402936, @=15340209584, src level=LFB Hit, latency=326
pc=402932, @=53440972, src level=LFB Hit, latency=352
pc=40293c, @=21356018200, src level=L3 Hit, latency=39
pc=402942, @=140733220095368, src level=L1 Hit, latency=380
pc=402936, @=15341585560, src level=LFB Hit, latency=214
pc=402942, @=140733220095368, src level=L1 Hit, latency=148
pc=402936, @=15342286936, src level=LFB Hit, latency=372
pc=40293c, @=21362112704, src level=L3 Hit, latency=64
pc=40293c, @=21357939568, src level=L3 Hit, latency=37
pc=402936, @=15343318168, src level=LFB Hit, latency=241
pc=402942, @=140733220095368, src level=L1 Hit, latency=232
pc=402936, @=15344007568, src level=LFB Hit, latency=146
pc=40293c, @=21356153000, src level=L3 Hit, latency=66
pc=402936, @=15344705880, src level=LFB Hit, latency=148
pc=402942, @=140733220095368, src level=L1 Hit, latency=147
pc=402936, @=15345409104, src level=LFB Hit, latency=118
pc=40293c, @=21360112152, src level=L3 Hit, latency=40
pc=402936, @=15346117120, src level=LFB Hit, latency=229
pc=402932, @=56399312, src level=LFB Hit, latency=376
pc=402942, @=140733220095368, src level=L1 Hit, latency=94
pc=402932, @=56745556, src level=LFB Hit, latency=345
pc=40293c, @=21361493824, src level=L3 Hit, latency=42
pc=40293c, @=21366281680, src level=L3 Hit, latency=73
pc=402942, @=140733220095368, src level=L1 Hit, latency=347
pc=402932, @=57438104, src level=LFB Hit, latency=703
pc=402942, @=140733220095368, src level=L1 Hit, latency=157
pc=402942, @=140733220095368, src level=L1 Hit, latency=283
pc=40293c, @=21364777768, src level=L3 Hit, latency=52
pc=402942, @=140733220095368, src level=L1 Hit, latency=408
pc=402942, @=140733220095368, src level=L1 Hit, latency=465
pc=402942, @=140733220095368, src level=L1 Hit, latency=153
pc=402942, @=140733220095368, src level=L1 Hit, latency=321
pc=40293c, @=21365164360, src level=L3 Hit, latency=83
pc=402936, @=15351653984, src level=LFB Hit, latency=166
pc=402936, @=15352002160, src level=LFB Hit, latency=74
pc=402942, @=140733220095368, src level=L1 Hit, latency=307
pc=402942, @=140733220095368, src level=L1 Hit, latency=140
pc=40293c, @=21366260664, src level=L3 Hit, latency=49
pc=402942, @=140733220095368, src level=L1 Hit, latency=274
pc=402936, @=15353745664, src level=LFB Hit, latency=190
pc=40293c, @=21357946384, src level=L3 Hit, latency=43
pc=402942, @=140733220095368, src level=L1 Hit, latency=157
pc=402936, @=15354790816, src level=LFB Hit, latency=105
pc=40293c, @=21364002776, src level=L3 Hit, latency=42
pc=40293c, @=21361891456, src level=Remote RAM 1 hop Hit, latency=57
pc=402936, @=15355829648, src level=LFB Hit, latency=96
pc=40293c, @=21355554664, src level=L3 Hit, latency=45
pc=402942, @=140733220095368, src level=L1 Hit, latency=150
pc=40293c, @=21357094816, src level=L3 Hit, latency=39
pc=402942, @=140733220095368, src level=L1 Hit, latency=336
pc=402942, @=140733220095368, src level=L1 Hit, latency=209
pc=402936, @=15357895960, src level=LFB Hit, latency=167
pc=40293c, @=21354893744, src level=L3 Hit, latency=54
pc=40293c, @=21355598848, src level=L3 Hit, latency=39
pc=402936, @=15358942360, src level=LFB Hit, latency=318
pc=402942, @=140733220095368, src level=L1 Hit, latency=151
pc=402936, @=15359628464, src level=LFB Hit, latency=207
pc=402942, @=140733220095368, src level=L1 Hit, latency=272
pc=40293c, @=21363244168, src level=L3 Hit, latency=70
pc=402936, @=15360662048, src level=LFB Hit, latency=237
pc=402936, @=15361014736, src level=LFB Hit, latency=165
pc=40293c, @=21364238032, src level=L3 Hit, latency=50
pc=402936, @=15361712528, src level=LFB Hit, latency=124
pc=402932, @=64190548, src level=LFB Hit, latency=371
pc=402942, @=140733220095368, src level=L1 Hit, latency=162
pc=402942, @=140733220095368, src level=L1 Hit, latency=213
pc=40293c, @=21362389608, src level=L3 Hit, latency=50
pc=402932, @=64885256, src level=LFB Hit, latency=382
pc=402936, @=15363798528, src level=LFB Hit, latency=237
pc=402936, @=15364137392, src level=LFB Hit, latency=39
pc=402936, @=15364490448, src level=LFB Hit, latency=419
pc=402942, @=140733220095368, src level=L1 Hit, latency=344
pc=402936, @=15365182496, src level=LFB Hit, latency=29
pc=40293c, @=21356558840, src level=L2 Hit, latency=28
pc=402936, @=15365864616, src level=LFB Hit, latency=176
pc=402942, @=140733220095368, src level=L1 Hit, latency=137
pc=40293c, @=21362127832, src level=L3 Hit, latency=38
pc=40293c, @=21363945920, src level=L3 Hit, latency=65
pc=402936, @=15367232320, src level=LFB Hit, latency=117
pc=402932, @=66955620, src level=LFB Hit, latency=254
pc=40293c, @=21361717872, src level=L3 Hit, latency=47
pc=402936, @=15368302504, src level=LFB Hit, latency=114
pc=40293c, @=21359225928, src level=L3 Hit, latency=39
pc=402942, @=140733220095368, src level=L1 Hit, latency=50
pc=402942, @=140733220095368, src level=L1 Hit, latency=210
pc=402936, @=15369747200, src level=LFB Hit, latency=178
pc=40293c, @=21358121512, src level=L3 Hit, latency=50
pc=402942, @=140733220095368, src level=L1 Hit, latency=345
pc=402942, @=140733220095368, src level=L1 Hit, latency=270
pc=40293c, @=21356118656, src level=L3 Hit, latency=38
pc=40293c, @=21359707816, src level=L3 Hit, latency=88
pc=402932, @=69077152, src level=LFB Hit, latency=115
pc=40293c, @=21365016976, src level=L3 Hit, latency=78
pc=402942, @=140733220095368, src level=L1 Hit, latency=244
pc=40293c, @=21364579576, src level=L3 Hit, latency=59
